x-axis,1,2,3
second,Volt,Volt,Volt
-48.7400E-06,-9.3750000000E+00,+4.0625000000E+00,+405.0000000000E+00
-48.6400E-06,-15.6250000000E+00,+4.0812500000E+00,+405.0000000000E+00
-48.5400E-06,-6.2500000000E+00,+4.0562500000E+00,+405.0000000000E+00
-48.4400E-06,+0.0E+00,+4.0875000000E+00,+405.0000000000E+00
-48.3400E-06,+0.0E+00,+4.0687500000E+00,+405.9375000000E+00
-48.2400E-06,+0.0E+00,+4.0500000000E+00,+404.6875000000E+00
-48.1400E-06,+0.0E+00,+4.0625000000E+00,+403.4375000000E+00
-48.0400E-06,+0.0E+00,+4.0625000000E+00,+404.3750000000E+00
-47.9400E-06,-9.3750000000E+00,+4.0625000000E+00,+405.0000000000E+00
-47.8400E-06,-6.2500000000E+00,+4.0437500000E+00,+405.0000000000E+00
-47.7400E-06,+0.0E+00,+4.0687500000E+00,+405.0000000000E+00
-47.6400E-06,+0.0E+00,+4.0750000000E+00,+405.0000000000E+00
-47.5400E-06,+0.0E+00,+4.0812500000E+00,+404.0625000000E+00
-47.4400E-06,+18.7500000000E+00,+4.0750000000E+00,+403.4375000000E+00
-47.3400E-06,+50.0000000000E+00,+4.0625000000E+00,+404.3750000000E+00
-47.2400E-06,+90.6250000000E+00,+4.0625000000E+00,+405.0000000000E+00
-47.1400E-06,+128.1250000000E+00,+4.0812500000E+00,+405.0000000000E+00
-47.0400E-06,+168.7500000001E+00,+4.0750000000E+00,+405.0000000000E+00
-46.9400E-06,+215.6250000001E+00,+4.0625000000E+00,+405.0000000000E+00
-46.8400E-06,+271.8750000001E+00,+4.0812500000E+00,+405.0000000000E+00
-46.7400E-06,+325.0000000001E+00,+4.0937500000E+00,+405.0000000000E+00
-46.6400E-06,+381.2500000001E+00,+4.0750000000E+00,+405.0000000000E+00
-46.5400E-06,+415.6250000000E+00,+4.0625000000E+00,+407.8125000000E+00
-46.4400E-06,+421.8750000000E+00,+4.0625000000E+00,+409.6875000000E+00
-46.3400E-06,+421.8750000000E+00,+4.0812500000E+00,+409.6875000000E+00
-46.2400E-06,+421.8750000000E+00,+4.0937500000E+00,+409.6875000000E+00
-46.1400E-06,+421.8750000000E+00,+4.0937500000E+00,+410.6250000000E+00
-46.0400E-06,+421.8750000000E+00,+4.0937500000E+00,+411.2500000000E+00
-45.9400E-06,+421.8750000000E+00,+4.0937500000E+00,+411.2500000000E+00
-45.8400E-06,+412.5000000000E+00,+4.0937500000E+00,+410.3125000000E+00
