time	V(vo2)
3.427286389801054e-005	4.479963e+001
3.427351917490926e-005	4.479962e+001
3.427431668883221e-005	4.479962e+001
3.427522583181880e-005	4.479962e+001
3.427639659241838e-005	4.479961e+001
3.427722771605357e-005	4.479961e+001
3.427799593745673e-005	4.479961e+001
3.427884261044192e-005	4.479961e+001
3.427946924944997e-005	4.479961e+001
3.428014907042032e-005	4.479961e+001
3.428094366170198e-005	4.479960e+001
3.428190671977971e-005	4.479960e+001
3.428247058432157e-005	4.479960e+001
3.428308706557651e-005	4.479960e+001
3.428391686018106e-005	4.479960e+001
3.428472925550569e-005	4.479959e+001
3.428604831011428e-005	4.479959e+001
3.428674635680765e-005	4.479959e+001
3.428754618842178e-005	4.479959e+001
3.428854259613159e-005	4.479959e+001
3.428911056222242e-005	4.479958e+001
3.428973917253206e-005	4.479958e+001
3.429057568205343e-005	4.479958e+001
3.429142141579342e-005	4.479958e+001
3.429269657434508e-005	4.479958e+001
3.429342317894102e-005	4.479958e+001
3.429423302760137e-005	4.479957e+001
3.429530364614658e-005	4.479957e+001
3.429597051496022e-005	4.479957e+001
3.429665013698208e-005	4.479957e+001
3.429749082494923e-005	4.479956e+001
3.429846754972321e-005	4.479956e+001
3.429905611063849e-005	4.479956e+001
3.429969659933876e-005	4.479956e+001
3.430055265087745e-005	4.479956e+001
3.430142457563207e-005	4.479956e+001
3.430271335737312e-005	4.479955e+001
3.430347853643906e-005	4.479955e+001
3.430430842496154e-005	4.479955e+001
3.430631397383435e-005	4.479955e+001
3.430710306172313e-005	4.479954e+001
3.430796293862892e-005	4.479954e+001
3.430941485241604e-005	4.479954e+001
3.431018646706668e-005	4.479953e+001
3.431103021031556e-005	4.479953e+001
3.431284572682700e-005	4.479953e+001
3.431362133237553e-005	4.479953e+001
3.431448329078643e-005	4.479952e+001
3.431613787599833e-005	4.479952e+001
3.431692148780571e-005	4.479952e+001
3.431778330970428e-005	4.479951e+001
3.431947550207315e-005	4.479951e+001
3.432026453560610e-005	4.479951e+001
3.432113368719708e-005	4.479951e+001
3.432280656888095e-005	4.479950e+001
3.432360411784532e-005	4.479950e+001
3.432447892170315e-005	4.479950e+001
3.432613391082806e-005	4.479950e+001
3.432693905728104e-005	4.479950e+001
3.432781958754780e-005	4.479949e+001
3.432946429486258e-005	4.479949e+001
3.433027757681825e-005	4.479949e+001
3.433116426557539e-005	4.479948e+001
3.433279407040468e-005	4.479948e+001
3.433361600032117e-005	4.479948e+001
3.433450887995945e-005	4.479948e+001
3.433612410866024e-005	4.479947e+001
3.433695500319745e-005	4.479947e+001
3.433785426378705e-005	4.479947e+001
3.433945479547687e-005	4.479947e+001
3.434029512647610e-005	4.479946e+001
3.434120098673443e-005	4.479946e+001
3.434278613268643e-005	4.479946e+001
3.434363641660609e-005	4.479945e+001
3.434454911123083e-005	4.479945e+001
3.434611833033965e-005	4.479945e+001
3.434697912616663e-005	4.479945e+001
3.434789893220352e-005	4.479944e+001
3.434945162439362e-005	4.479944e+001
3.435032356474688e-005	4.479944e+001
3.435125080803250e-005	4.479943e+001
3.435278626020763e-005	4.479943e+001
3.435367006267287e-005	4.479943e+001
3.435460512782665e-005	4.479943e+001
3.435612252276551e-005	4.479942e+001
3.435701900549731e-005	4.479942e+001
3.435796235112115e-005	4.479942e+001
3.435946093383047e-005	4.479942e+001
3.436037108734205e-005	4.479942e+001
3.436132328727207e-005	4.479941e+001
3.436282917015920e-005	4.479941e+001
3.436385939604644e-005	4.479940e+001
3.436479157244154e-005	4.479940e+001
3.436556461184487e-005	4.479940e+001
3.436631654546787e-005	4.479940e+001
3.436732305165183e-005	4.479940e+001
3.436832776709808e-005	4.479940e+001
3.436905917826236e-005	4.479939e+001
3.436982942103123e-005	4.479939e+001
3.437081638823017e-005	4.479939e+001
3.437193642485265e-005	4.479939e+001
3.437266374212503e-005	4.479939e+001
3.437347892604192e-005	4.479938e+001
3.437445758030372e-005	4.479938e+001
3.437644387691355e-005	4.479938e+001
3.437741623802879e-005	4.479937e+001
3.437842833440077e-005	4.479937e+001
3.437917632970536e-005	4.479937e+001
3.437996870296958e-005	4.479937e+001
3.438097371951526e-005	4.479937e+001
3.438291596027585e-005	4.479936e+001
3.438378837845521e-005	4.479936e+001
3.438478969403080e-005	4.479935e+001
3.438569967280716e-005	4.479935e+001
3.438650269397062e-005	4.479935e+001
3.438758651260962e-005	4.479935e+001
3.438859935134264e-005	4.479935e+001
3.438937113563884e-005	4.479934e+001
3.439019771587018e-005	4.479934e+001
3.439121746312210e-005	4.479934e+001
3.439339845868333e-005	4.479934e+001
3.439441041029265e-005	4.479933e+001
3.439546931617576e-005	4.479933e+001
3.439623463523736e-005	4.479933e+001
3.439708341679976e-005	4.479933e+001
3.439811057302789e-005	4.479932e+001
3.439950479128956e-005	4.479932e+001
3.440050917709672e-005	4.479932e+001
3.440164549575048e-005	4.479932e+001
