time	V(n003)
3.259101533284806e-005	1.023908e-001
3.259126846476279e-005	8.000817e-002
3.259146792307377e-005	6.049535e-002
3.259168076877664e-005	4.000817e-002
3.259194700353657e-005	1.647728e-002
3.259219492412341e-005	-2.060075e-003
3.259244412009976e-005	-1.620476e-002
3.259269605855597e-005	-2.470628e-002
3.259312668961456e-005	-2.902379e-002
3.259346439687602e-005	-2.540418e-002
3.259373888947828e-005	-1.792658e-002
3.259399427380655e-005	-8.464160e-003
3.259425841013047e-005	2.861065e-003
3.259452202006644e-005	1.506185e-002
3.259484849717220e-005	3.069354e-002
3.259500961929132e-005	3.847060e-002
3.259517442421103e-005	4.641237e-002
3.259534716616025e-005	5.470051e-002
3.259549657483665e-005	6.183595e-002
3.259565152785235e-005	6.919196e-002
3.259596143388721e-005	8.367275e-002
3.259658124595347e-005	1.113393e-001
3.259708082505725e-005	1.306335e-001
3.259753371849181e-005	1.422161e-001
3.259799061337831e-005	1.434163e-001
3.259855346081017e-005	1.274911e-001
3.259909614723722e-005	9.611994e-002
3.259937255311457e-005	7.429782e-002
3.259957386623352e-005	5.652055e-002
3.259980242235547e-005	3.655992e-002
3.260006070256172e-005	1.580769e-002
3.260030668827615e-005	-9.652961e-004
3.260055377705615e-005	-1.383765e-002
3.260080748211658e-005	-2.182330e-002
3.260122561114798e-005	-2.602878e-002
3.260155950580990e-005	-2.304630e-002
3.260183312567277e-005	-1.641807e-002
3.260208793796557e-005	-7.850008e-003
3.260235255722957e-005	2.573340e-003
3.260261656621785e-005	1.390987e-002
3.260293996335331e-005	2.840663e-002
3.260325293160879e-005	4.261470e-002
3.260367617202720e-005	6.178672e-002
3.260394576794917e-005	7.390499e-002
3.260423629358744e-005	8.683868e-002
3.260446181979973e-005	9.671263e-002
3.260468014132725e-005	1.057426e-001
3.260511678437883e-005	1.210398e-001
3.260566160630599e-005	1.329696e-001
3.260617483641023e-005	1.321970e-001
3.260672284616933e-005	1.146079e-001
3.260725040275109e-005	8.363917e-002
3.260747732179714e-005	6.641959e-002
3.260767967371708e-005	4.965424e-002
3.260786322541870e-005	3.483625e-002
3.260815849766979e-005	1.310017e-002
3.260841712923041e-005	-2.800357e-003
3.260867687111119e-005	-1.459118e-002
3.260893259200356e-005	-2.100475e-002
3.260939954489658e-005	-2.318629e-002
3.260973535892248e-005	-1.892925e-002
3.261000023942542e-005	-1.195516e-002
3.261024610564170e-005	-3.554706e-003
3.261053866809166e-005	7.825680e-003
3.261081881665573e-005	1.953158e-002
3.261124168892418e-005	3.781054e-002
3.261159636209349e-005	5.322479e-002
3.261207802512239e-005	7.391619e-002
3.261253678668238e-005	9.264728e-002
3.261306927116944e-005	1.111449e-001
3.261363363015607e-005	1.236270e-001
3.261414179769537e-005	1.237351e-001
3.261470329593216e-005	1.077623e-001
3.261528014749174e-005	7.706189e-002
3.261550559419471e-005	6.145415e-002
3.261571465478300e-005	4.563836e-002
