time	V(n003)	V(n008)
1.910359643086945e-006	1.717875e+000	-7.817595e-001
1.912217191046145e-006	1.701093e+000	-7.799196e-001
1.914191254673986e-006	1.683490e+000	-7.779619e-001
1.916081400408359e-006	1.666876e+000	-7.760744e-001
1.918066480970093e-006	1.649665e+000	-7.740891e-001
1.919956004601403e-006	1.633482e+000	-7.722078e-001
1.921750653492704e-006	1.618314e+000	-7.704200e-001
1.923570576156664e-006	1.603147e+000	-7.685944e-001
1.925266500696354e-006	1.589199e+000	-7.668885e-001
1.927028805432524e-006	1.574869e+000	-7.651234e-001
1.928487386868710e-006	1.563144e+000	-7.636657e-001
1.930143942757701e-006	1.549990e+000	-7.620016e-001
1.931404020289601e-006	1.540110e+000	-7.607279e-001
1.933134734816155e-006	1.526692e+000	-7.589787e-001
1.934555835386709e-006	1.515786e+000	-7.575498e-001
1.936111804361901e-006	1.503985e+000	-7.559861e-001
1.937708538228555e-006	1.492029e+000	-7.543713e-001
1.939083673799941e-006	1.481865e+000	-7.529733e-001
1.940700938587309e-006	1.470041e+000	-7.513317e-001
1.941882619514029e-006	1.461490e+000	-7.501379e-001
1.943481239250616e-006	1.450059e+000	-7.485221e-001
1.945092032121232e-006	1.438693e+000	-7.468832e-001
1.946549630076760e-006	1.428547e+000	-7.453933e-001
1.948134712565636e-006	1.417638e+000	-7.437766e-001
1.949306246223914e-006	1.409665e+000	-7.425865e-001
1.950997511438596e-006	1.398307e+000	-7.408655e-001
1.952759493613343e-006	1.386647e+000	-7.390604e-001
1.954401430772496e-006	1.375943e+000	-7.373731e-001
1.956042555838200e-006	1.365379e+000	-7.356918e-001
1.957327645560336e-006	1.357212e+000	-7.343785e-001
1.958901400301444e-006	1.347341e+000	-7.327643e-001
1.960035616595246e-006	1.340324e+000	-7.315933e-001
1.961579121020213e-006	1.330905e+000	-7.299962e-001
1.963144308017584e-006	1.321462e+000	-7.283825e-001
1.964452877159517e-006	1.313667e+000	-7.270365e-001
1.965951920802206e-006	1.304856e+000	-7.254895e-001
1.967066038909004e-006	1.298401e+000	-7.243322e-001
1.968511895000108e-006	1.290138e+000	-7.228261e-001
1.970002660112158e-006	1.281715e+000	-7.212777e-001
1.971195162622091e-006	1.275062e+000	-7.200427e-001
1.972701482083616e-006	1.266774e+000	-7.184792e-001
1.974022636106604e-006	1.259613e+000	-7.170990e-001
1.975400004579353e-006	1.252259e+000	-7.156546e-001
1.976854206629797e-006	1.244591e+000	-7.141323e-001
1.977926374019390e-006	1.239008e+000	-7.130135e-001
1.979505794485331e-006	1.230906e+000	-7.113631e-001
1.981042404397559e-006	1.223149e+000	-7.097476e-001
1.982396145808196e-006	1.216430e+000	-7.083179e-001
1.983858767422297e-006	1.209271e+000	-7.067743e-001
1.984903721670428e-006	1.204221e+000	-7.056751e-001
1.986270192228662e-006	1.197711e+000	-7.042372e-001
1.987668360688144e-006	1.191152e+000	-7.027580e-001
1.988828490107758e-006	1.185800e+000	-7.015238e-001
1.990281482074086e-006	1.179198e+000	-6.999764e-001
1.991588202361616e-006	1.173340e+000	-6.985888e-001
1.992804855101976e-006	1.167965e+000	-6.972984e-001
1.994145036241651e-006	1.162135e+000	-6.958720e-001
1.995157129501546e-006	1.157804e+000	-6.947883e-001
1.996418512194287e-006	1.152492e+000	-6.934327e-001
1.997755089418185e-006	1.146938e+000	-6.919981e-001
1.998737934352096e-006	1.142908e+000	-6.909461e-001
1.999992326546379e-006	1.137842e+000	-6.896031e-001
2.001296495659360e-006	1.132659e+000	-6.882005e-001
2.002311755979619e-006	1.128697e+000	-6.871021e-001
2.003780498492647e-006	1.123067e+000	-6.855093e-001
2.005179516501726e-006	1.117785e+000	-6.839949e-001
2.006273571754369e-006	1.113722e+000	-6.828125e-001
2.007619624943419e-006	1.108813e+000	-6.813541e-001
2.008846071294146e-006	1.104425e+000	-6.800176e-001
2.010014106830493e-006	1.100327e+000	-6.787388e-001
2.011300067408101e-006	1.095888e+000	-6.773301e-001
2.012242885304771e-006	1.092680e+000	-6.762997e-001
2.013279262472884e-006	1.089208e+000	-6.751682e-001
2.014472041702436e-006	1.085278e+000	-6.738622e-001
2.015425723631004e-006	1.082192e+000	-6.728122e-001
2.016449261489639e-006	1.078943e+000	-6.716799e-001
2.017665815517294e-006	1.075146e+000	-6.703324e-001
2.018762874488739e-006	1.071775e+000	-6.691192e-001
2.019747518199055e-006	1.068800e+000	-6.680318e-001
2.020951941860555e-006	1.065231e+000	-6.666986e-001
2.022240094601280e-006	1.061496e+000	-6.652651e-001
2.023323997159265e-006	1.058424e+000	-6.640526e-001
2.024561348772797e-006	1.054991e+000	-6.626658e-001
2.025708102783991e-006	1.051867e+000	-6.613823e-001
2.026691184740109e-006	1.049238e+000	-6.602829e-001
2.027855481527563e-006	1.046191e+000	-6.589777e-001
2.029009535102488e-006	1.043240e+000	-6.576771e-001
2.030021596623882e-006	1.040714e+000	-6.565304e-001
2.031202232282564e-006	1.037834e+000	-6.551899e-001
2.032405437845525e-006	1.034958e+000	-6.538250e-001
2.033353912685859e-006	1.032738e+000	-6.527500e-001
2.034497731204926e-006	1.030126e+000	-6.514504e-001
2.035799481450717e-006	1.027231e+000	-6.499636e-001
2.036818595337747e-006	1.025029e+000	-6.487931e-001
2.037980782108179e-006	1.022588e+000	-6.474549e-001
2.039350526134715e-006	1.019779e+000	-6.458783e-001
2.040324757538597e-006	1.017833e+000	-6.447572e-001
