time	I(R7)
8.850943375723550e-005	4.620703e-002
8.850981471723515e-005	4.622083e-002
8.851031697378053e-005	4.623903e-002
8.851086403450711e-005	4.625884e-002
8.851118531595648e-005	4.627048e-002
8.851147914386986e-005	4.628113e-002
8.851171287972692e-005	4.628959e-002
8.851192058970461e-005	4.629712e-002
8.851213479187103e-005	4.630488e-002
8.851244492959209e-005	4.631611e-002
8.851280648058957e-005	4.632921e-002
8.851325530511225e-005	4.634547e-002
8.851375877304279e-005	4.636371e-002
8.851448017865859e-005	4.638984e-002
8.851479498643913e-005	4.640125e-002
8.851499629080814e-005	4.640854e-002
8.851523855408008e-005	4.641731e-002
8.851548197823939e-005	4.642613e-002
8.851585361560610e-005	4.643960e-002
8.851624004464070e-005	4.645360e-002
8.851674723927422e-005	4.647197e-002
8.851730694519125e-005	4.649225e-002
8.851760976546705e-005	4.650322e-002
8.851790174699628e-005	4.651379e-002
8.851813121749791e-005	4.652210e-002
8.851834790684840e-005	4.652996e-002
8.851854305194640e-005	4.653702e-002
8.851888129381494e-005	4.654928e-002
8.851923205894369e-005	4.656198e-002
8.851970975292528e-005	4.657929e-002
8.852020440926547e-005	4.659721e-002
8.852074056941994e-005	4.661663e-002
8.852101580463651e-005	4.662660e-002
8.852124096245598e-005	4.663476e-002
8.852143730759057e-005	4.664187e-002
8.852168517006764e-005	4.665085e-002
8.852196479440522e-005	4.666098e-002
8.852234647763191e-005	4.667481e-002
8.852276294111713e-005	4.668989e-002
8.852328375202889e-005	4.670876e-002
8.852392438955803e-005	4.673196e-002
8.852421008618411e-005	4.674232e-002
8.852444140661567e-005	4.675069e-002
8.852463180624923e-005	4.675759e-002
8.852489848775944e-005	4.676725e-002
8.852516216651882e-005	4.677681e-002
8.852555574561175e-005	4.679106e-002
8.852595660639728e-005	4.680558e-002
8.852649039360269e-005	4.682492e-002
8.852711471202951e-005	4.684753e-002
8.852739628379888e-005	4.685773e-002
8.852762485057897e-005	4.686601e-002
8.852781981574104e-005	4.687308e-002
8.852807426936935e-005	4.688229e-002
8.852834859121930e-005	4.689223e-002
8.852873434376032e-005	4.690621e-002
8.852914544422302e-005	4.692110e-002
8.852967013769919e-005	4.694010e-002
8.853030093025974e-005	4.696295e-002
8.853058145717740e-005	4.697312e-002
8.853082082643446e-005	4.698179e-002
8.853100779446926e-005	4.698856e-002
8.853128822072093e-005	4.699872e-002
8.853154294732879e-005	4.700794e-002
8.853194556094832e-005	4.702253e-002
8.853233735903882e-005	4.703672e-002
8.853288002295262e-005	4.705638e-002
8.853349042503567e-005	4.707849e-002
8.853376637136048e-005	4.708849e-002
8.853400313792517e-005	4.709706e-002
8.853419489478903e-005	4.710401e-002
8.853446258376418e-005	4.711371e-002
8.853472756406577e-005	4.712331e-002
8.853512190639540e-005	4.713759e-002
8.853552353989963e-005	4.715214e-002
8.853605659571787e-005	4.717145e-002
8.853667220116990e-005	4.719375e-002
8.853694536713891e-005	4.720365e-002
8.853719567425422e-005	4.721271e-002
8.853738493135033e-005	4.721957e-002
8.853763344049762e-005	4.722857e-002
8.853788419503628e-005	4.723765e-002
8.853826308394958e-005	4.725138e-002
8.853865456092541e-005	4.726556e-002
8.853917053783592e-005	4.728425e-002
8.853975067360520e-005	4.730526e-002
8.854002012970152e-005	4.731502e-002
8.854030302674759e-005	4.732527e-002
8.854051660745280e-005	4.733301e-002
8.854075387973101e-005	4.734160e-002
8.854098979668365e-005	4.735015e-002
8.854135215952477e-005	4.736327e-002
8.854173277123012e-005	4.737706e-002
8.854223059309024e-005	4.739509e-002
8.854277484105985e-005	4.741481e-002
8.854310424195530e-005	4.742674e-002
8.854339959089852e-005	4.743744e-002
8.854363547960986e-005	4.744598e-002
8.854383879287539e-005	4.745335e-002
8.854406644782237e-005	4.746159e-002
8.854436302484572e-005	4.747234e-002
8.854473273111133e-005	4.748573e-002
8.854516755003872e-005	4.750148e-002
8.854567895690002e-005	4.752000e-002
8.854637184175368e-005	4.754510e-002
8.854667965423405e-005	4.755625e-002
8.854687090482927e-005	4.756318e-002
8.854709162607957e-005	4.757117e-002
8.854729945019860e-005	4.757870e-002
8.854765220604050e-005	4.759148e-002
8.854801148653474e-005	4.760449e-002
8.854849996781100e-005	4.762219e-002
8.854900676509223e-005	4.764054e-002
8.854946281149426e-005	4.765707e-002
8.854972558293081e-005	4.766658e-002
8.854997069858081e-005	4.767546e-002
8.855015806071356e-005	4.768225e-002
8.855041038802539e-005	4.769139e-002
8.855066499445854e-005	4.770061e-002
8.855104782463583e-005	4.771448e-002
8.855144217916403e-005	4.772876e-002
8.855196274287769e-005	4.774762e-002
8.855255318973229e-005	4.776901e-002
8.855281117325226e-005	4.777835e-002
8.855309066621922e-005	4.778847e-002
8.855329800781450e-005	4.779598e-002
8.855354179711575e-005	4.780481e-002
8.855378691100327e-005	4.781369e-002
8.855415710292205e-005	4.782710e-002
8.855454456318732e-005	4.784114e-002
8.855505032313166e-005	4.785946e-002
8.855561086415845e-005	4.787976e-002
8.855591476753660e-005	4.789077e-002
